No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3136,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.79B,10703.33,32.11,-2.43%,"1,090,448"
3135,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.29B,9612.5,38.45,0.29%,"52,744"
3134,VSAT,"Viasat, Inc.",Technology,Communication Equipment,USA,3.69B,8278.57,57.95,-5.00%,"668,906"
3133,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,26.32B,3855.6,96.39,5.98%,"5,551,202"
3132,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,24.23B,2125,4.25,-1.85%,"22,401,218"
3131,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,282.63M,2083.33,6.25,0.16%,"106,934"
3130,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.56B,1893.61,34.08,-0.28%,"443,587"
3129,PAAS,Pan American Silver Corp.,Basic Materials,Silver,Canada,5.05B,1497.5,23.96,6.87%,"3,671,778"
3128,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,9.56B,1352.14,37.86,9.74%,"5,391,565"
3127,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.88B,1147.21,127.34,2.54%,"475,655"
3126,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,220.11M,1110,11.1,0.82%,"73,396"
3125,MTLS,Materialise NV,Technology,Application Software,Belgium,982.32M,1108.24,18.84,-3.48%,"47,706"
3124,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.16B,1087.33,16.31,-0.06%,"35,542"
3123,PCRX,"Pacira BioSciences, Inc.",Healthcare,Drugs - Generic,USA,2.09B,962.88,50.07,0.16%,"515,209"
3122,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,14.03B,923.53,31.4,4.70%,"5,430,810"
3121,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,12.70B,835.71,212.27,-0.02%,"495,852"
3120,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.12B,775.71,27.15,-1.38%,"314,157"
3119,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,99.54M,650,12.35,0.41%,"147,509"
3118,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.80B,623.9,76.74,1.87%,"193,250"
3117,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.31B,615,22.14,-0.67%,"2,661,362"
3116,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,234.60M,600,6,-0.50%,"189,973"
3115,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,194.95M,560.53,10.65,-0.65%,"27,652"
3114,QTS,"QTS Realty Trust, Inc.",Financial,REIT - Industrial,USA,3.48B,543.87,60.37,-0.26%,"465,656"
3113,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,5.95B,530.74,14.33,-0.21%,"49,639"
3112,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,2.00B,527.21,54.83,-0.94%,"113,175"
3111,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.04B,494.31,25.21,-0.40%,"446,771"
3110,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.31B,485.71,27.2,-1.31%,"102,473"
3109,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.56B,473.26,21.77,1.63%,"4,897,692"
3108,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.98B,466.91,31.75,0.89%,"585,371"
3107,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.68B,437.59,12.69,0.00%,"485,534"
3106,SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,328.80M,435.69,28.32,-4.23%,"122,175"
3105,SITC,SITE Centers Corp.,Financial,REIT - Retail,USA,2.52B,435,13.05,0.46%,"1,308,893"
3104,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,4.34B,418.85,36.44,-0.55%,"457,509"
3103,PEAK,"Healthpeak Properties, Inc.",Financial,REIT - Healthcare Facilities,USA,18.84B,414.78,37.33,0.05%,"2,430,453"
3102,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,272.65M,386.9,11.22,-0.62%,"116,616"
3101,SPWR,SunPower Corporation,Technology,Semiconductor - Specialized,USA,1.64B,383.75,9.21,10.43%,"8,647,545"
3100,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2.75B,380.86,35.42,4.95%,"502,478"
3099,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,2.17B,371.59,16.35,-2.39%,"789,428"
