No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1975,SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductor - Integrated Circuits,USA,20.91B,24.67,118.99,-2.94%,"1,811,271"
1976,NHI,"National Health Investors, Inc.",Financial,REIT - Healthcare Facilities,USA,3.86B,24.67,88.62,0.90%,"143,721"
1974,FTDR,"frontdoor, inc.",Services,Business Services,USA,3.77B,24.6,43.77,-0.05%,"641,597"
1973,NI,NiSource Inc.,Utilities,Diversified Utilities,USA,11.30B,24.58,30.21,0.07%,"3,477,992"
1971,IRM,Iron Mountain Incorporated,Technology,Business Software & Services,USA,9.55B,24.57,33.14,-0.66%,"2,938,168"
1972,CLMT,"Calumet Specialty Products Partners, L.P.",Basic Materials,Oil & Gas Refining & Marketing,USA,332.01M,24.57,4.25,0.47%,"61,912"
1969,PQG,PQ Group Holdings Inc.,Basic Materials,Specialty Chemicals,USA,2.10B,24.56,15.2,0.73%,"123,016"
1970,FRO,Frontline Ltd.,Services,Shipping,Bermuda,1.68B,24.56,8.18,-0.24%,"642,849"
1968,NGG,National Grid plc,Utilities,Gas Utilities,United Kingdom,47.89B,24.5,67.38,1.23%,"646,613"
1967,DCI,"Donaldson Company, Inc.",Industrial Goods,Diversified Machinery,USA,6.81B,24.49,52.53,-0.28%,"227,189"
1966,SEM,Select Medical Holdings Corporation,Healthcare,Hospitals,USA,3.44B,24.39,25.51,-0.78%,"557,398"
1964,LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,121.04B,24.36,222.64,0.62%,"1,279,097"
1965,VMI,"Valmont Industries, Inc.",Industrial Goods,Metal Fabrication,USA,3.32B,24.36,151.99,-0.40%,"64,689"
1963,DLB,"Dolby Laboratories, Inc.",Technology,Diversified Electronics,USA,7.40B,24.34,72.32,0.40%,"409,499"
1962,HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,269.02B,24.3,245.03,1.10%,"2,792,070"
1960,DEO,Diageo plc,Consumer Goods,Beverages - Wineries & Distillers,United Kingdom,95.89B,24.29,160.86,0.25%,"272,144"
1961,BYD,Boyd Gaming Corporation,Services,Resorts & Casinos,USA,3.83B,24.29,33.28,-0.48%,"828,802"
