No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3130,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.84B,10426.67,31.28,-1.32%,"1,242,855"
3129,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.23B,9150,36.6,-0.81%,"103,304"
3128,VSAT,"Viasat, Inc.",Technology,Communication Equipment,USA,3.68B,8141.43,56.99,1.24%,"682,891"
3127,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,30.57B,4275.2,106.88,-0.19%,"6,638,374"
3126,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,23.21B,2075,4.15,6.14%,"93,087,492"
3125,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,238.58M,1746.67,5.24,-6.26%,"640,062"
3124,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.19B,1666.11,29.99,1.80%,"758,962"
3123,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.18B,1080,16.2,1.76%,"458,482"
3122,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,214.76M,1039,10.39,-0.67%,"38,470"
3121,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.54B,1006.76,111.75,-2.11%,"703,032"
3120,MTLS,Materialise NV,Technology,Application Software,Belgium,915.96M,1000,17,-5.19%,"103,408"
3119,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,14.55B,957.94,32.57,-1.75%,"3,843,487"
3118,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,122.74M,857.89,16.3,4.65%,"3,534,713"
3117,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,11.34B,708.7,180.01,-8.50%,"3,118,412"
3116,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,279.63M,704,7.04,2.33%,"320,005"
3115,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.02B,650,26,0.00%,"276,164"
3114,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.33B,591.39,21.29,0.33%,"2,194,977"
3113,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.54B,536.26,65.96,-3.99%,"1,492,761"
3112,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,2.02B,534.95,55.63,-0.42%,"107,871"
3111,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,184.51M,530.53,10.08,0.40%,"38,262"
3110,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,5.53B,500.38,13.01,-2.77%,"235,313"
3109,AYX,"Alteryx, Inc.",Technology,Application Software,USA,9.55B,463.66,136.78,3.08%,"1,878,746"
3108,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.63B,454.57,20.91,0.53%,"3,159,840"
3107,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.65B,436.03,29.65,-1.17%,"1,979,452"
3106,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.21B,425.89,23.85,-2.01%,"83,245"
3105,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.61B,421.72,12.23,-0.57%,"634,506"
3104,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,3.07B,415.05,38.6,14.10%,"1,932,344"
3103,SITC,SITE Centers Corp.,Financial,REIT - Retail,USA,2.35B,408.33,12.25,-2.39%,"917,101"
3102,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,10.39B,402.78,43.5,-1.34%,"4,371,821"
3101,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,3.86B,399.77,34.78,-3.07%,"2,375,721"
3100,INOV,"Inovalon Holdings, Inc.",Technology,Healthcare Information Services,USA,3.30B,393.85,20.48,4.65%,"810,198"
3099,PEAK,"Healthpeak Properties, Inc.",Financial,REIT - Healthcare Facilities,USA,17.73B,388.33,34.95,-1.99%,"4,973,747"
3098,SPWR,SunPower Corporation,Technology,Semiconductor - Specialized,USA,1.57B,370,8.88,-6.62%,"4,730,782"
3097,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,266.03M,363.45,10.54,-1.03%,"202,785"
3096,CWST,"Casella Waste Systems, Inc.",Industrial Goods,Waste Management,USA,2.58B,357.21,52.51,-1.06%,"361,535"
3095,TRC,Tejon Ranch Co.,Financial,Property Management,USA,417.73M,354.44,15.95,0.13%,"105,735"
3094,TREC,Trecora Resources,Basic Materials,Specialty Chemicals,USA,152.77M,345,6.21,-0.16%,"28,543"
3093,EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services,USA,2.10B,340,45.56,1.42%,"251,468"
3092,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,867.13M,330.98,16.88,0.18%,"832,110"
3091,KRUS,"Kura Sushi USA, Inc.",Services,Restaurants,USA,183.85M,328.48,21.68,-4.03%,"78,322"
3090,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,42.94B,321.53,190.67,2.11%,"2,817,366"
3089,TAL,TAL Education Group,Services,Education & Training Services,USA,32.75B,319.89,56.3,-0.49%,"4,135,345"
3088,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,4.80B,308.05,80.4,1.12%,"675,130"
3087,CDAY,Ceridian HCM Holding Inc.,Technology,Application Software,USA,10.64B,300.16,73.84,1.03%,"1,098,629"
3086,BYFC,Broadway Financial Corporation,Financial,Savings & Loans,USA,29.20M,298,1.49,1.36%,"1,773"
3085,BLKB,"Blackbaud, Inc.",Technology,Business Software & Services,USA,3.64B,296.26,72.88,-0.71%,"198,180"
3084,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,22.18B,294.84,53.66,0.90%,"442,077"
3083,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,1.82B,293.86,12.93,-7.11%,"2,911,601"
3082,DEA,"Easterly Government Properties, Inc.",Financial,REIT - Office,USA,1.84B,285.75,24.86,0.69%,"942,577"
3081,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Biotechnology,USA,8.59B,284.7,93.95,-0.36%,"898,653"
3080,MITT,"AG Mortgage Investment Trust, Inc.",Financial,Mortgage Investment,USA,531.95M,282.63,16.11,1.07%,"476,281"
3079,CXP,"Columbia Property Trust, Inc.",Financial,REIT - Office,USA,2.34B,277.95,20.29,-3.75%,"1,168,686"
3078,WSG,Wanda Sports Group Company Limited,Services,Entertainment - Diversified,China,584.53M,276.67,4.15,-0.72%,"170,264"
3077,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,32.07B,257.39,288.28,-0.97%,"843,613"
3076,DXCM,"DexCom, Inc.",Healthcare,Medical Laboratories & Research,USA,26.47B,256.93,278.25,-2.01%,"1,316,254"
3075,VIRC,Virco Mfg. Corporation,Consumer Goods,Business Equipment,USA,59.91M,256.67,3.85,-2.04%,"11,463"
3074,ONTO,Onto Innovation Inc.,Technology,Semiconductor Equipment & Materials,USA,1.70B,255.08,33.16,-0.30%,"253,805"
3073,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,1.65B,253.32,67.13,0.81%,"208,634"
3072,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,1.88B,247.24,14.34,-2.18%,"768,217"
3071,DXR,Daxor Corporation,Healthcare,Medical Instruments & Supplies,USA,34.12M,244.59,9.05,-5.73%,"1,715"
3070,DSX,Diana Shipping Inc.,Services,Shipping,Greece,233.81M,236.67,2.13,-3.18%,"362,243"
3069,SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,440.31M,236.53,35.48,-3.22%,"136,046"
