No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;Price;Change;Volume
131;METC;Ramaco Resources, Inc.;Basic Materials;Industrial Metals & Minerals;USA;111850000;4.1;2.66;-2.92%;105236
132;TX;Ternium S.A.;Basic Materials;Steel & Iron;Luxembourg;3780000000;4.23;18.68;-2.45%;174181
135;CVGI;Commercial Vehicle Group, Inc.;Services;Auto Parts Wholesale;USA;135260000;4.29;4.47;-1.11%;96147
138;AHC;A.H. Belo Corporation;Services;Publishing - Newspapers;USA;55020000;4.35;2.63;-0.94%;13865
139;ATLC;Atlanticus Holdings Corporation;Financial;Credit Services;USA;222690000;4.35;13.84;-1.42%;52562
144;CYOU;Changyou.com Limited;Technology;Multimedia & Graphics Software;China;588960000;4.62;10.72;0.09%;121709
145;CEE;The Central and Eastern Europe Fund, Inc.;Financial;Closed-End Fund - Foreign;USA;176480000;4.64;25.99;1.48%;12085
147;ELVT;Elevate Credit, Inc.;Financial;Credit Services;USA;151610000;4.67;3.4;-3.41%;148086
148;WLFC;Willis Lease Finance Corporation;Services;Rental & Leasing Services;USA;347600000;4.67;59.52;0.37%;3047
151;NRT;North European Oil Royalty Trust;Financial;Diversified Investments;USA;35900000;4.72;3.89;0.52%;53319
153;SHG;Shinhan Financial Group Co., Ltd.;Financial;Foreign Regional Banks;South Korea;13960000000;4.81;27.91;1.42%;176479
157;GRVY;Gravity Co., Ltd.;Technology;Multimedia & Graphics Software;South Korea;198890000;4.85;31.62;3.57%;31479
161;SFE;Safeguard Scientifics, Inc.;Financial;Asset Management;USA;196300000;4.99;9.33;-0.53%;30822
164;GBL;GAMCO Investors, Inc.;Financial;Asset Management;USA;426040000;5.19;15.47;-2.40%;15397
167;NMCI;Navios Maritime Containers L.P.;Services;Shipping;Monaco;39100000;5.21;1.13;-1.74%;39687
168;MGU;Macquarie Global Infrastructure Total Return Fund Inc.;Financial;Closed-End Fund - Foreign;USA;305220000;5.23;24.48;0.41%;55343
174;PRT;PermRock Royalty Trust;Basic Materials;Oil & Gas Equipment & Services;USA;57980000;5.4;4.84;-2.02%;47865
176;SPRT;Support.com, Inc.;Technology;Internet Software & Services;USA;21730000;5.42;1.17;-0.85%;23888
177;VOC;VOC Energy Trust;Basic Materials;Independent Oil & Gas;USA;70210000;5.45;3.98;-1.97%;100152
178;CCR;CONSOL Coal Resources LP;Basic Materials;Industrial Metals & Minerals;USA;222610000;5.47;7.77;-0.26%;32300
179;FLC;Flaherty & Crumrine Total Return Fund Inc.;Financial;Closed-End Fund - Debt;USA;219170000;5.49;21.97;0.92%;63348
181;RYI;Ryerson Holding Corporation;Industrial Goods;Metal Fabrication;USA;324760000;5.6;8.37;-2.79%;129345
184;MDWD;MediWound Ltd.;Healthcare;Biotechnology;Israel;65879999;5.63;2.4;-11.11%;147280
185;HTD;John Hancock Tax-Advantaged Dividend Income Fund;Financial;Closed-End Fund - Debt;USA;911010000;5.64;25.74;-0.85%;163048
187;HAPP;Happiness Biotech Group Limited;Healthcare;Drugs - Generic;China;115330000;5.65;4.68;2.57%;192914
189;KBSF;KBS Fashion Group Limited;Consumer Goods;Textile - Apparel Clothing;China;3300000;5.7;1.95;-5.80%;50970
190;GLIBP;GCI Liberty, Inc.;Technology;Telecom Services - Domestic;USA;2950000000;5.7;27.33;0.44%;6569
193;MCEP;Mid-Con Energy Partners, LP;Basic Materials;Independent Oil & Gas;USA;7300000;5.73;0.23;-0.27%;57928
194;SCX;The L.S. Starrett Company;Industrial Goods;Small Tools & Accessories;USA;31600000;5.75;4.62;-3.75%;10748
195;PFO;Flaherty & Crumrine Preferred Income Opportunity Fund Inc.;Financial;Closed-End Fund - Debt;USA;151960000;5.76;12.04;-1.63%;84041
196;DXF;Dunxin Financial Holdings Limited;Financial;Credit Services;China;19420000;5.79;0.92;1.89%;13978
198;MTR;Mesa Royalty Trust;Financial;Diversified Investments;USA;11720000;5.83;6.29;-1.26%;2538
203;IAF;Aberdeen Australia Equity Fund, Inc.;Financial;Asset Management;USA;113940000;5.96;5.01;-1.96%;116707
204;KELYA;Kelly Services, Inc.;Services;Staffing & Outsourcing Services;USA;653670000;5.97;16.93;-3.81%;178344
206;SAR;Saratoga Investment Corp.;Financial;Diversified Investments;USA;292410000;5.97;26.15;3.32%;131620
209;PFD;Flaherty & Crumrine Preferred Income Fund Inc.;Financial;Closed-End Fund - Debt;USA;170900000;6.02;15.2;-0.07%;145963
211;BCV;Bancroft Fund Ltd.;Financial;Closed-End Fund - Debt;USA;133850000;6.05;25.48;-1.66%;30794
215;ALCO;Alico, Inc.;Consumer Goods;Farm Products;USA;251590000;6.1;33.5;-1.64%;13833
216;CYD;China Yuchai International Limited;Industrial Goods;Diversified Machinery;Singapore;518380000;6.11;12.5;-0.71%;76563
219;PVL;Permianville Royalty Trust;Basic Materials;Independent Oil & Gas;USA;61640000;6.15;1.84;-3.66%;159973
221;ADES;Advanced Emissions Solutions, Inc.;Industrial Goods;Pollution & Treatment Controls;USA;216610000;6.18;10.94;1.86%;86548
222;SRLP;Sprague Resources LP;Basic Materials;Oil & Gas Refining & Marketing;USA;312120000;6.21;13.6;-3.20%;79848
227;BIO;Bio-Rad Laboratories, Inc.;Healthcare;Medical Laboratories & Research;USA;11260000000;6.34;369.0;0.17%;155193
228;BIO-B;Bio-Rad Laboratories, Inc.;Healthcare;Medical Laboratories & Research;USA;1880000000;6.34;369.43;-1.22%;309
230;ETO;Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund;Financial;Closed-End Fund - Equity;USA;376060000;6.37;24.42;0.37%;97780
231;EARN;Ellington Residential Mortgage REIT;Financial;Mortgage Investment;USA;144420000;6.43;11.48;0.17%;47619
233;KELYB;Kelly Services, Inc.;Services;Staffing & Outsourcing Services;USA;63980000;6.44;18.28;-2.79%;277
239;ACGLP;Arch Capital Group Ltd.;Financial;Insurance Brokers;Bermuda;10170000000;6.52;25.25;0.00%;146396
242;GRF;Eagle Capital Growth Fund, Inc.;Financial;Asset Management;USA;29620000;6.55;7.61;-1.81%;4815
243;CINR;Ciner Resources LP;Basic Materials;Industrial Metals & Minerals;USA;309170000;6.57;15.2;0.00%;14009
248;SHI;Sinopec Shanghai Petrochemical Company Limited;Basic Materials;Oil & Gas Refining & Marketing;China;4560000000;6.64;25.57;0.87%;60042
249;OPY;Oppenheimer Holdings Inc.;Financial;Investment Brokerage - Regional;USA;327800000;6.66;25.45;-0.66%;53306
250;ACGLO;Arch Capital Group Ltd.;Financial;Insurance Brokers;Bermuda;10440000000;6.69;25.9;-0.15%;59360
251;RCG;RENN Fund, Inc.;Financial;Asset Management;USA;10180000;6.71;1.71;-0.58%;14406
252;ESGR;Enstar Group Limited;Financial;Property & Casualty Insurance;Bermuda;3970000000;6.72;184.1;-2.00%;32322
255;CFBK;Central Federal Corporation;Financial;Savings & Loans;USA;77040000;6.78;14.32;0.07%;1115
256;RVI;Retail Value Inc.;Services;Specialty Retail, Other;USA;598180000;6.78;31.65;-1.71%;34034
259;BBGI;Beasley Broadcast Group, Inc.;Services;Broadcasting - Radio;USA;91760000;6.81;3.29;-4.91%;38816
262;JHI;John Hancock Investors Trust;Financial;Closed-End Fund - Debt;USA;154030000;6.83;17.69;-0.56%;32930
265;CIH;China Index Holdings Limited;Technology;Application Software;China;216080000;6.91;2.28;-0.87%;44517
270;NC;NACCO Industries, Inc.;Consumer Goods;Home Furnishings & Fixtures;USA;306080000;6.96;44.04;-2.02%;8596
274;HGSH;China HGS Real Estate Inc.;Financial;Real Estate Development;China;22090000;7.01;0.46;-3.65%;6967
279;TRMT;Tremont Mortgage Trust;Financial;Mortgage Investment;USA;44390000;7.06;5.38;-1.65%;55862
282;MARPS;Marine Petroleum Trust;Financial;Diversified Investments;USA;3630000;7.06;1.82;0.00%;15947
283;NMR;Nomura Holdings, Inc.;Financial;Investment Brokerage - National;Japan;16860000000;7.06;4.76;1.49%;152626
285;MCR;MFS Charter Income Trust;Financial;Closed-End Fund - Debt;USA;378040000;7.07;8.38;0.84%;182834
287;NL;NL Industries, Inc.;Services;Industrial Equipment Wholesale;USA;168100000;7.09;3.36;2.75%;13381
289;PKOH;Park-Ohio Holdings Corp.;Services;Industrial Equipment Wholesale;USA;329610000;7.1;26.39;-0.23%;31869
293;TRT;Trio-Tech International;Technology;Semiconductor Equipment & Materials;USA;12320000;7.13;3.5;-0.85%;1052
294;ONEW;OneWater Marine Inc.;Consumer Goods;Recreational Vehicles;USA;235880000;7.14;16.09;-0.19%;120631
298;IX;ORIX Corporation;Financial;Credit Services;Japan;22270000000;7.19;83.04;1.14%;32930
303;RCMT;RCM Technologies, Inc.;Services;Staffing & Outsourcing Services;USA;32619999;7.26;2.46;1.24%;13189
305;BKN;BlackRock Investment Quality Municipal Trust Inc.;Financial;Closed-End Fund - Debt;USA;275460000;7.28;16.03;-0.76%;89856
310;JHS;John Hancock Income Securities Trust;Financial;Closed-End Fund - Debt;USA;173530000;7.39;14.9;-0.20%;21432
311;JEQ;Aberdeen Japan Equity Fund, Inc.;Financial;Closed-End Fund - Foreign;USA;95720000;7.39;7.14;0.99%;17716
313;HNNA;Hennessy Advisors, Inc.;Financial;Asset Management;USA;78330000;7.46;10.28;1.88%;16661
317;PT;Pintec Technology Holdings Limited;Technology;Wireless Communications;Portugal;96770000;7.54;2.24;1.36%;179639
318;SIGA;SIGA Technologies, Inc.;Healthcare;Biotechnology;USA;398640000;7.55;4.68;1.08%;153507
319;VHI;Valhi, Inc.;Basic Materials;Chemicals - Major Diversified;USA;476000000;7.56;1.36;1.49%;110491
320;AFB;AllianceBernstein National Municipal Income Fund;Financial;Closed-End Fund - Debt;USA;410480000;7.58;14.28;-0.35%;117478
321;GPP;Green Plains Partners LP;Basic Materials;Oil & Gas Pipelines;USA;315250000;7.59;13.6;-1.09%;72097
322;MEN;BlackRock MuniEnhanced Fund, Inc.;Financial;Closed-End Fund - Debt;USA;347270000;7.59;11.7;-0.51%;75536
323;NXJ;Nuveen New Jersey Quality Municipal Income Fund;Financial;Asset Management;USA;624700000;7.59;15.05;-0.59%;65312
324;ASG;Liberty All-Star Growth Fund, Inc.;Financial;Closed-End Fund - Equity;USA;237610000;7.59;6.25;0.48%;142301
329;GLP;Global Partners LP;Services;Basic Materials Wholesale;USA;624500000;7.65;18.07;-1.36%;125704
331;MQY;BlackRock MuniYield Quality Fund, Inc.;Financial;Closed-End Fund - Debt;USA;481570000;7.66;15.68;0.00%;60681
333;TG;Tredegar Corporation;Basic Materials;Specialty Chemicals;USA;611880000;7.7;17.97;-1.59%;67582
334;MQT;BlackRock MuniYield Quality Fund II, Inc.;Financial;Closed-End Fund - Debt;USA;303240000;7.7;13.44;-0.03%;46784
339;EVY;Eaton Vance New York Municipal Income Trust;Financial;Asset Management;USA;74280000;7.75;13.75;-1.43%;19818
340;MFD;Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund;Financial;Closed-End Fund - Equity;USA;89660000;7.75;10.49;-0.38%;33494
344;SJT;San Juan Basin Royalty Trust;Basic Materials;Independent Oil & Gas;USA;112790000;7.8;2.41;2.55%;81464
345;MSB;Mesabi Trust;Financial;Diversified Investments;USA;247840000;7.8;18.89;-0.58%;62362
349;CEO;CNOOC Limited;Basic Materials;Oil & Gas Drilling & Exploration;Hong Kong;64840000000;7.85;143.83;-0.42%;165717
350;PANL;Pangaea Logistics Solutions, Ltd.;Services;Shipping;USA;123960000;7.88;2.81;-2.20%;10187
351;NKX;Nuveen California AMT-Free Quality Municipal Income Fund;Financial;Asset Management;USA;758900000;7.9;15.97;0.00%;33840
353;RNP;Cohen & Steers REIT and Preferred Income Fund, Inc.;Financial;Closed-End Fund - Debt;USA;1130000000;7.92;23.73;-0.25%;189764
354;NWLI;National Western Life Group, Inc.;Financial;Life Insurance;USA;912600000;7.93;252.1;-6.24%;11007
361;PKBK;Parke Bancorp, Inc.;Financial;Regional - Northeast Banks;USA;262480000;7.98;19.81;1.54%;9341
362;SVT;Servotronics, Inc.;Industrial Goods;Industrial Electrical Equipment;USA;24530000;7.98;9.85;-2.95%;4970
363;CEV;Eaton Vance California Municipal Income Trust;Financial;Asset Management;USA;97940000;7.98;13.73;-0.22%;17200
366;CPSS;Consumer Portfolio Services, Inc.;Financial;Credit Services;USA;80320000;8.0;3.57;-2.19%;37352
368;KSM;DWS Strategic Municipal Income Trust;Financial;Closed-End Fund - Debt;USA;138820000;8.05;12.39;0.08%;21417
369;EDUC;Educational Development Corporation;Services;Publishing - Books;USA;46530000;8.06;5.48;-1.26%;6649
370;CRT;Cross Timbers Royalty Trust;Basic Materials;Oil & Gas Drilling & Exploration;USA;49560000;8.07;8.26;1.10%;63720
371;FT;Franklin Universal Trust;Financial;Closed-End Fund - Debt;USA;195020000;8.07;7.76;-0.76%;129968
374;NMY;Nuveen Maryland Quality Municipal Income Fund;Financial;Closed-End Fund - Debt;USA;324090000;8.12;14.03;-0.21%;18884
375;NBW;Neuberger Berman California Municipal Fund Inc.;Financial;Asset Management;USA;80710000;8.12;14.54;-0.08%;6592
378;NQP;Nuveen Pennsylvania Quality Municipal Income Fund;Financial;Closed-End Fund - Debt;USA;546540000;8.15;14.62;-0.34%;53206
379;UBOH;United Bancshares, Inc.;Financial;Money Center Banks;USA;75280000;8.17;22.34;-0.50%;859
