No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3136,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.75B,10550,31.65,-2.19%,"677,186"
3135,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.29B,9632.5,38.53,-0.16%,"53,562"
3134,VSAT,"Viasat, Inc.",Technology,Communication Equipment,USA,3.55B,7952.86,55.67,-3.82%,"717,938"
3133,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,27.79B,4070.4,101.76,-3.35%,"5,480,748"
3132,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,23.71B,2080,4.16,0.00%,"21,014,879"
3131,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,269.06M,1983.33,5.95,-0.83%,"220,394"
3130,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.39B,1805,32.49,-1.84%,"756,006"
3129,PAAS,Pan American Silver Corp.,Basic Materials,Silver,Canada,5.31B,1576.25,25.22,1.24%,"3,680,574"
3128,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,10.79B,1525.71,42.72,-0.09%,"3,207,455"
3127,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.97B,1184.86,131.52,1.81%,"2,589,452"
3126,MTLS,Materialise NV,Technology,Application Software,Belgium,1.00B,1132.35,19.25,-2.78%,"61,118"
3125,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,223.68M,1128,11.28,-4.00%,"85,273"
3124,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.17B,1100,16.5,-0.90%,"24,383"
3123,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,14.70B,967.94,32.91,1.51%,"3,138,825"
3122,PCRX,"Pacira BioSciences, Inc.",Healthcare,Drugs - Generic,USA,2.02B,932.5,48.49,-3.06%,"688,830"
3121,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,12.70B,835.87,212.31,-1.91%,"339,253"
3120,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.08B,748.57,26.2,-0.46%,"185,105"
3119,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,282.69M,723,7.23,-0.55%,"242,107"
3118,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,109.62M,715.79,13.6,6.33%,"656,257"
3117,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.80B,623.98,76.75,0.87%,"565,488"
3116,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.28B,610.83,21.99,-0.57%,"4,968,940"
3115,QTS,"QTS Realty Trust, Inc.",Financial,REIT - Industrial,USA,3.63B,567.93,63.04,-0.08%,"476,392"
3114,SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,428.41M,567.69,36.9,-7.87%,"273,315"
3113,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,194.77M,560,10.64,-0.37%,"17,977"
3112,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,2.02B,531.15,55.24,0.11%,"82,658"
3111,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,5.78B,515.56,13.92,-2.79%,"53,428"
3110,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,4.28B,502.35,34.16,1.07%,"825,625"
3109,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.32B,490.89,27.49,-1.47%,"205,334"
3108,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.58B,477.17,21.95,-6.20%,"4,772,212"
3107,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,978.74M,465.69,23.75,-8.95%,"895,295"
3106,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,4.63B,447.13,38.9,6.14%,"2,810,576"
3105,SITC,SITE Centers Corp.,Financial,REIT - Retail,USA,2.54B,439.67,13.19,1.15%,"950,333"
3104,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.68B,438.97,12.73,0.24%,"402,430"
3103,SPWR,SunPower Corporation,Technology,Semiconductor - Specialized,USA,1.81B,425,10.2,-4.58%,"4,841,474"
3102,PEAK,"Healthpeak Properties, Inc.",Financial,REIT - Healthcare Facilities,USA,18.75B,412.78,37.15,-0.38%,"7,724,831"
3101,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2.79B,386.56,35.95,-0.42%,"466,235"
3100,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,266.81M,378.62,10.98,-1.79%,"99,117"
3099,KRUS,"Kura Sushi USA, Inc.",Services,Restaurants,USA,207.85M,368.33,24.31,-1.70%,"88,317"
3098,TRC,Tejon Ranch Co.,Financial,Property Management,USA,428.06M,366,16.47,-0.54%,"43,641"
3097,CWST,"Casella Waste Systems, Inc.",Industrial Goods,Waste Management,USA,2.51B,364.22,53.54,-2.87%,"501,152"
3096,TREC,Trecora Resources,Basic Materials,Specialty Chemicals,USA,160.38M,360,6.48,0.47%,"31,654"
3095,EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services,USA,2.09B,359.4,48.16,-4.52%,"213,928"
3094,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,2.05B,350,15.4,-2.04%,"1,041,954"
3093,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,44.12B,340.49,201.91,-2.30%,"1,766,697"
3092,TAL,TAL Education Group,Services,Education & Training Services,USA,34.99B,337.9,59.47,1.73%,"1,822,434"
3091,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,863.09M,333.33,17,-0.93%,"175,403"
3090,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,5.14B,329.46,85.99,-0.54%,"464,145"
3089,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Biotechnology,USA,9.81B,315.52,104.12,0.94%,"627,624"
3088,AYX,"Alteryx, Inc.",Technology,Application Software,USA,8.19B,312.4,137.77,-6.33%,"2,842,953"
3087,BLKB,"Blackbaud, Inc.",Technology,Business Software & Services,USA,3.75B,307.24,75.58,-1.65%,"421,559"
3086,WSG,Wanda Sports Group Company Limited,Services,Entertainment - Diversified,China,651.87M,306.67,4.6,-2.95%,"379,293"
3084,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,22.53B,304.67,55.45,-1.44%,"266,371"
3085,CDAY,Ceridian HCM Holding Inc.,Technology,Application Software,USA,10.58B,304.67,74.95,-0.33%,"1,188,781"
3083,BYFC,Broadway Financial Corporation,Financial,Savings & Loans,USA,28.65M,300,1.5,-2.60%,"1,908"
3082,DSX,Diana Shipping Inc.,Services,Shipping,Greece,283.31M,294.44,2.65,-3.64%,"379,959"
3081,DEA,"Easterly Government Properties, Inc.",Financial,REIT - Office,USA,1.86B,290.46,25.27,-0.04%,"252,242"
3080,MITT,"AG Mortgage Investment Trust, Inc.",Financial,Mortgage Investment,USA,538.55M,289.82,16.52,-0.84%,"209,360"
3079,ONTO,Onto Innovation Inc.,Technology,Semiconductor Equipment & Materials,USA,1.84B,286,37.18,-2.62%,"205,257"
3078,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,1.84B,275.28,72.95,-0.69%,"120,629"
3077,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,2.09B,273.1,15.84,1.41%,"1,591,395"
3076,LASR,"nLIGHT, Inc.",Technology,Semiconductor - Broad Line,USA,714.51M,270.98,17.89,-9.81%,"718,268"
3075,VIRC,Virco Mfg. Corporation,Consumer Goods,Business Equipment,USA,64.12M,266,3.99,1.01%,"2,484"
3074,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,33.42B,263.97,295.65,1.20%,"1,649,827"
3073,TACO,"Del Taco Restaurants, Inc.",Services,Restaurants,USA,288.29M,256.67,7.7,-1.28%,"200,326"
3072,F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major,USA,32.06B,254.52,7.89,-1.74%,"57,945,238"
3071,DXR,Daxor Corporation,Healthcare,Medical Instruments & Supplies,USA,35.40M,253.78,9.39,-0.63%,"9,650"
3070,FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,43.39B,251.15,163.25,-1.01%,"1,581,526"
3069,IDT,IDT Corporation,Technology,Diversified Communication Services,USA,223.35M,248.89,8.96,2.17%,"129,715"
3068,LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,4.15B,247.54,85.4,0.00%,"638,346"
3067,MLAB,"Mesa Laboratories, Inc.",Technology,Scientific & Technical Instruments,USA,1.17B,240.18,269.48,-0.08%,"29,692"
3066,SLAB,Silicon Laboratories Inc.,Technology,Semiconductor - Integrated Circuits,USA,4.36B,237.35,100.4,-3.95%,"439,643"
3065,NTCT,"NetScout Systems, Inc.",Technology,Business Software & Services,USA,2.17B,231.17,29.59,0.71%,"463,046"
3064,CHCT,Community Healthcare Trust Incorporated,Financial,REIT - Healthcare Facilities,USA,1.04B,227.75,51.7,1.15%,"157,314"
3063,CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,USA,8.69B,225,23.4,-0.09%,"5,565,266"
3062,HSKA,Heska Corporation,Healthcare,Medical Laboratories & Research,USA,791.60M,217.61,100.97,-1.78%,"86,746"
3061,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,4.35B,214.96,88.78,0.77%,"542,371"
3060,IIIN,"Insteel Industries, Inc.",Basic Materials,Steel & Iron,USA,422.96M,214.62,22.32,-1.15%,"40,337"
3059,LBRDK,Liberty Broadband Corporation,Services,Broadcasting - TV,USA,20.93B,214.09,137.02,-0.90%,"747,488"
3058,AUDC,AudioCodes Ltd.,Technology,Communication Equipment,Israel,752.09M,212.88,25.12,0.44%,"271,159"
3057,LBRDA,Liberty Broadband Corporation,Services,CATV Systems,USA,24.80B,211.54,135.6,-1.00%,"48,203"
3056,ZNGA,Zynga Inc.,Technology,Multimedia & Graphics Software,USA,6.73B,209.71,7.13,-0.70%,"14,473,815"
3055,ENR,"Energizer Holdings, Inc.",Consumer Goods,Personal Products,USA,3.59B,205.52,51.38,0.02%,"785,889"
3054,SSP,The E.W. Scripps Company,Services,Broadcasting - TV,USA,1.09B,202.54,13.57,-2.30%,"412,801"
3053,MYL,Mylan N.V.,Healthcare,Drugs - Generic,USA,10.79B,201.43,21.15,1.08%,"4,905,370"
3052,AMK,"AssetMark Financial Holdings, Inc.",Financial,Asset Management,USA,2.27B,199.69,31.75,-1.27%,"53,106"
3051,RGEN,Repligen Corporation,Healthcare,Biotechnology,USA,5.12B,199.41,98.11,-2.98%,"560,658"
3050,COLD,Americold Realty Trust,Financial,REIT - Industrial,USA,6.69B,198.91,34.81,-6.80%,"5,070,770"
3049,MTRN,Materion Corporation,Basic Materials,Industrial Metals & Minerals,USA,1.06B,198.29,49.97,-0.12%,"101,024"
3048,LGC,Legacy Acquisition Corp.,Conglomerates,Conglomerates,USA,306.83M,197.55,10.47,0.38%,"388,852"
3047,AOBC,American Outdoor Brands Corporation,Services,"Specialty Retail, Other",USA,603.10M,194.64,10.9,1.11%,"713,714"
3046,HTA,"Healthcare Trust of America, Inc.",Financial,REIT - Healthcare Facilities,USA,6.82B,193.97,33.75,1.14%,"959,159"
3045,TRI,Thomson Reuters Corporation,Services,Publishing - Periodicals,USA,40.42B,191.68,81.08,-0.73%,"323,567"
3044,BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other",USA,5.18B,190.18,63.71,-3.12%,"454,117"
3043,SPHS,"Sophiris Bio, Inc.",Healthcare,Biotechnology,USA,25.74M,190.03,0.76,1.36%,"80,672"
3042,CRM,"salesforce.com, inc.",Technology,Application Software,USA,166.93B,189.31,189.5,-2.00%,"5,205,082"
3041,GFNCP,General Finance Corporation,Services,Rental & Leasing Services,USA,3.25B,186.94,107.3,-0.09%,370
3040,JBGS,JBG SMITH Properties,Financial,Property Management,USA,6.19B,186.47,41.77,-1.04%,"421,304"
3039,STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,USA,1.56B,185.56,34.7,-2.66%,"564,589"
3038,HZNP,Horizon Therapeutics Public Limited Company,Healthcare,Drugs - Generic,Ireland,6.63B,184.9,35.5,-1.50%,"1,569,596"
3037,IVAC,"Intevac, Inc.",Technology,Diversified Electronics,USA,166.08M,184.86,6.84,-1.16%,"102,079"
3036,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,61.44B,184.36,53.28,-6.97%,"88,242,583"
3035,MANU,Manchester United plc,Services,Sporting Activities,United Kingdom,3.13B,181.98,19.29,-0.26%,"24,560"
3034,MAGS,Magal Security Systems Ltd.,Services,Security & Protection Services,Israel,87.52M,181.9,3.82,-0.03%,"14,927"
3033,FTAC,FinTech Acquisition Corp. III,Conglomerates,Conglomerates,USA,363.51M,180,10.26,0.20%,49
3032,SWCH,"Switch, Inc.",Technology,Information Technology Services,USA,4.19B,178.48,17.67,-0.11%,"1,091,238"
3031,KRNT,Kornit Digital Ltd.,Industrial Goods,Diversified Machinery,Israel,1.76B,177.96,43.6,0.30%,"172,256"
3030,FOCS,Focus Financial Partners Inc.,Financial,Asset Management,USA,2.36B,176.61,33.91,-0.38%,"527,151"
3029,KTOS,"Kratos Defense & Security Solutions, Inc.",Services,Security & Protection Services,USA,2.18B,176.09,20.25,-3.02%,"727,300"
3028,POPE,"Pope Resources, A Delaware Limited Partnership",Industrial Goods,"Lumber, Wood Production",USA,515.34M,175.77,118.47,-0.27%,"1,591"
3027,WMB,"The Williams Companies, Inc.",Basic Materials,Oil & Gas Pipelines,USA,26.18B,172.16,21.52,-2.40%,"13,690,278"
3026,HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,14.09B,171.86,52.59,-0.21%,"1,106,477"
3025,IQV,IQVIA Holdings Inc.,Healthcare,Medical Laboratories & Research,USA,31.99B,171.31,163.43,-0.43%,"958,139"
3024,ENPH,"Enphase Energy, Inc.",Technology,Semiconductor Equipment & Materials,USA,7.28B,170.78,59.09,0.60%,"7,464,650"
3023,AMEH,"Apollo Medical Holdings, Inc.",Healthcare,Hospitals,USA,621.94M,169.81,17.49,-0.34%,"16,132"
3022,CNTY,"Century Casinos, Inc.",Services,Resorts & Casinos,USA,243.05M,164.08,8.04,-1.53%,"50,806"
3021,OSPN,OneSpan Inc.,Technology,Application Software,USA,751.38M,162.05,18.96,-0.68%,"168,501"
3020,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,93.33B,161.05,154.93,-1.18%,"2,705,019"
3019,BBU,Brookfield Business Partners L.P.,Financial,Real Estate Development,Bermuda,3.72B,160.8,45.99,-0.28%,"16,014"
3018,PRMW,Primo Water Corporation,Consumer Goods,Beverages - Soft Drinks,USA,608.98M,160.31,15.39,0.00%,"1,418,659"
3017,VVNT,"Vivint Smart Home, Inc.",Services,Security & Protection Services,USA,2.74B,159.66,19,3.20%,"114,502"
3016,RPT,RPT Realty,Financial,REIT - Retail,USA,1.17B,157.63,14.66,0.14%,"605,623"
3015,PEN,"Penumbra, Inc.",Healthcare,Medical Instruments & Supplies,USA,6.68B,156.45,192.12,0.51%,"315,657"
3014,WLDN,"Willdan Group, Inc.",Services,Technical Services,USA,427.01M,153.02,37.49,-0.32%,"68,020"
3013,NXPI,NXP Semiconductors N.V.,Technology,Semiconductor - Broad Line,Netherlands,36.91B,152.81,130.5,-3.19%,"3,521,918"
3012,NDLS,Noodles & Company,Services,Restaurants,USA,360.65M,152.28,8.68,0.23%,"440,076"
3011,SY,So-Young International Inc.,Technology,Healthcare Information Services,China,1.35B,151.41,12.87,-2.05%,"192,631"
3010,GBDC,"Golub Capital BDC, Inc.",Financial,Asset Management,USA,2.46B,149.59,18.4,-0.38%,"711,267"
3009,WING,Wingstop Inc.,Services,Restaurants,USA,2.94B,148.98,99.67,-1.48%,"431,169"
3008,TTD,"The Trade Desk, Inc.",Technology,Application Software,USA,13.68B,147.77,301.9,-3.07%,"1,336,706"
3007,SEB,Seaboard Corporation,Conglomerates,Conglomerates,USA,4.58B,147.41,3947.51,0.45%,556
3006,CFFA,CF Finance Acquisition Corp.,Conglomerates,Conglomerates,USA,298.11M,145.49,10.33,-0.19%,799
3005,GLUU,Glu Mobile Inc.,Technology,Multimedia & Graphics Software,USA,1.21B,145.37,7.85,5.87%,"8,975,590"
3004,UFCS,"United Fire Group, Inc.",Financial,Property & Casualty Insurance,USA,1.17B,145.03,44.96,0.16%,"48,620"
3003,COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA,3.57B,143.98,142.54,-5.18%,"323,724"
3002,ATIF,ATIF Holdings Limited,Financial,Asset Management,China,62.29M,143.85,1.87,-0.53%,"48,432"
3001,CRSAU,Crescent Acquisition Corp.,Conglomerates,Conglomerates,USA,515.97M,143.84,10.5,0.19%,"25,200"
3000,INXN,InterXion Holding N.V.,Technology,Information Technology Services,Netherlands,7.40B,141.07,96.63,1.37%,"2,288,745"
2999,ENZ,"Enzo Biochem, Inc.",Healthcare,Medical Laboratories & Research,USA,109.46M,140.63,2.25,1.81%,"76,515"
2998,INVH,Invitation Homes Inc.,Financial,Real Estate Development,USA,16.88B,140.13,31.39,-0.48%,"3,203,426"
2997,DLR,"Digital Realty Trust, Inc.",Financial,REIT - Office,USA,28.79B,138.13,138.13,1.34%,"3,344,401"
2996,APPF,"AppFolio, Inc.",Technology,Application Software,USA,4.49B,137.37,133.8,-6.47%,"89,174"
2995,ATUS,"Altice USA, Inc.",Technology,Telecom Services - Domestic,USA,18.07B,136.71,29.12,0.38%,"4,325,314"
2994,PCTY,Paylocity Holding Corporation,Technology,Application Software,USA,7.37B,133.9,138.72,-4.36%,"337,765"
2993,RVP,"Retractable Technologies, Inc.",Healthcare,Medical Instruments & Supplies,USA,55.47M,133.85,1.74,1.16%,"194,485"
2992,HR,Healthcare Realty Trust Incorporated,Financial,REIT - Healthcare Facilities,USA,5.05B,132.71,37.69,0.64%,"2,206,765"
2991,RP,"RealPage, Inc.",Technology,Application Software,USA,5.74B,131.57,61.18,-1.29%,"321,614"
2990,TCMD,"Tactile Systems Technology, Inc.",Healthcare,Medical Instruments & Supplies,USA,1.15B,130.09,60.1,-4.56%,"119,467"
2989,MITK,"Mitek Systems, Inc.",Technology,Application Software,USA,393.38M,129.59,9.59,-0.42%,"226,377"
2988,IVR,Invesco Mortgage Capital Inc.,Financial,Mortgage Investment,USA,2.98B,129.29,18.23,-0.16%,"2,136,182"
2987,ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,Sweden,30.20B,129.13,8.91,-0.22%,"5,197,392"
2986,HPP,"Hudson Pacific Properties, Inc.",Financial,REIT - Office,USA,5.75B,129.11,37.57,-1.13%,"932,266"
2985,TREE,"LendingTree, Inc.",Financial,Mortgage Investment,USA,4.38B,128.47,337.49,-1.66%,"114,301"
2984,FSP,Franklin Street Properties Corp.,Financial,REIT - Office,USA,823.75M,127.5,7.65,0.26%,"452,263"
2983,GWRS,"Global Water Resources, Inc.",Utilities,Water Utilities,USA,313.07M,127,13.97,0.79%,"47,170"
2982,XP,XP Inc.,Financial,Asset Management,Brazil,23.96B,124.87,42.33,-1.54%,"413,487"
2981,REX,REX American Resources Corporation,Conglomerates,Conglomerates,USA,502.70M,123.72,79.92,0.29%,"28,115"
2980,ELAN,Elanco Animal Health Incorporated,Technology,Telecom Services - Foreign,USA,12.45B,121.68,31.15,3.04%,"5,779,809"
2979,FRG,"Franchise Group, Inc.",Services,Personal Services,Canada,412.97M,121.52,23.94,-0.04%,"17,933"
2978,NPO,"EnPro Industries, Inc.",Industrial Goods,Industrial Equipment & Components,USA,1.27B,121.28,60.52,-0.23%,"88,026"
2977,EVI,"EVI Industries, Inc.",Services,Consumer Services,USA,265.49M,120.98,23.35,-0.43%,"32,593"
2976,LNN,Lindsay Corporation,Industrial Goods,Farm & Construction Machinery,USA,1.14B,120.88,105.53,0.49%,"69,976"
2975,ANGI,ANGI Homeservices Inc.,Technology,Internet Software & Services,USA,4.14B,120.75,8.09,-1.52%,"862,817"
2974,GDDY,GoDaddy Inc.,Technology,Internet Software & Services,USA,13.52B,118.82,77.35,0.19%,"1,225,010"
2973,GRSHU,PAE Incorporated,Conglomerates,Conglomerates,USA,600.00M,118.81,12,0.00%,0
2972,TH,Target Hospitality Corp.,Conglomerates,Conglomerates,USA,505.54M,117.07,4.8,-4.95%,"109,196"
2971,ICHR,"Ichor Holdings, Ltd.",Technology,Semiconductor Equipment & Materials,USA,787.47M,116.57,32.99,-6.70%,"365,978"
2970,SFIX,"Stitch Fix, Inc.",Services,"Specialty Retail, Other",USA,2.94B,116.55,29.37,1.00%,"2,813,032"
2969,EFR,Eaton Vance Senior Floating-Rate Trust,Financial,Closed-End Fund - Debt,USA,502.24M,116.5,13.63,0.00%,"299,912"
2968,CSTL,"Castle Biosciences, Inc.",Healthcare,Medical Laboratories & Research,USA,552.27M,116.16,32.41,-2.79%,"104,777"
2967,WETF,"WisdomTree Investments, Inc.",Financial,Asset Management,USA,842.48M,115.23,5.07,-0.59%,"2,021,920"
2966,NMM,Navios Maritime Partners L.P.,Services,Shipping,Monaco,127.04M,114.48,10.99,-1.79%,"56,084"
2965,JD,"JD.com, Inc.",Technology,Internet Information Providers,China,59.29B,114.18,40.42,-2.56%,"10,948,903"
2964,REXR,"Rexford Industrial Realty, Inc.",Financial,REIT - Industrial,USA,5.94B,114,53.35,0.77%,"408,395"
2963,LUNA,Luna Innovations Incorporated,Technology,Scientific & Technical Instruments,USA,277.82M,113.95,9.23,1.76%,"183,439"
2962,SHAK,Shake Shack Inc.,Services,Specialty Eateries,USA,2.84B,113.85,74.8,-2.40%,"2,098,655"
2961,WYNN,"Wynn Resorts, Limited",Services,Resorts & Casinos,USA,13.89B,111.75,127.95,-4.04%,"2,839,021"
2960,FNV,Franco-Nevada Corporation,Basic Materials,Gold,Canada,22.48B,111.7,119.18,2.60%,"628,209"
2959,CRSA,Crescent Acquisition Corp.,Conglomerates,Conglomerates,USA,253.75M,111.54,10.15,0.00%,"9,210"
2958,HDB,HDFC Bank Limited,Financial,Foreign Regional Banks,India,48.06B,111.15,57.52,-0.78%,"1,183,242"
2957,QNST,"QuinStreet, Inc.",Technology,Internet Software & Services,USA,756.78M,110.53,14.59,0.69%,"442,430"
2956,GRSH,PAE Incorporated,Conglomerates,Conglomerates,USA,446.00M,110.4,11.15,0.00%,0
2955,FGEN,"FibroGen, Inc.",Healthcare,Biotechnology,USA,3.87B,110.12,45.48,0.35%,"436,866"
2954,DSGX,The Descartes Systems Group Inc,Technology,Business Software & Services,Canada,3.79B,109.42,45.08,-1.59%,"72,629"
2953,EQIX,"Equinix, Inc. (REIT)",Financial,REIT - Diversified,USA,55.77B,109.33,655.99,1.17%,"508,301"
2952,NOW,"ServiceNow, Inc.",Technology,Information Technology Services,USA,64.18B,108.87,344.48,-2.40%,"2,338,651"
2951,WPG,Washington Prime Group Inc.,Financial,Property Management,USA,543.70M,108.8,2.72,-1.81%,"5,299,272"
