No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
100,EAF,GrafTech International Ltd.,Industrial Goods,Diversified Machinery,USA,2.61B,3.5,9.01,-3.53%,"2,994,205"
101,OTEL,Otelco Inc.,Technology,Telecom Services - Domestic,USA,28.92M,3.5,8.24,-0.81%,"4,694"
99,ANY,Sphere 3D Corp.,Technology,Application Software,Canada,3.02M,3.49,0.77,-0.13%,"227,739"
97,ISEE,"IVERIC bio, Inc.",Healthcare,Biotechnology,USA,275.17M,3.41,5.52,-3.16%,"443,743"
98,ERF,Enerplus Corporation,Basic Materials,Oil & Gas Drilling & Exploration,Canada,1.04B,3.41,4.5,-4.66%,"2,874,490"
96,LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,1.76B,3.39,99.43,-0.65%,"440,758"
94,BTO,John Hancock Financial Opportunities Fund,Financial,Closed-End Fund - Equity,USA,591.77M,3.33,31.66,-4.95%,"125,305"
95,ESTE,"Earthstone Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,295.68M,3.33,4.57,2.01%,"287,332"
92,VIAC,ViacomCBS Inc.,Services,Entertainment - Diversified,USA,16.38B,3.29,25.36,-5.83%,"24,898,008"
93,BH,Biglari Holdings Inc.,Services,Restaurants,USA,374.09M,3.29,115.46,-3.78%,"11,778"
91,CONN,"Conn's, Inc.",Services,Electronics Stores,USA,244.77M,3.28,8.64,-4.42%,"887,683"
90,OAS,Oasis Petroleum Inc.,Basic Materials,Independent Oil & Gas,USA,596.10M,3.26,1.77,-5.85%,"10,043,881"
89,CET,Central Securities Corp.,Financial,Asset Management,USA,813.18M,3.24,31.41,-3.20%,"28,123"
86,CHKR,Chesapeake Granite Wash Trust,Basic Materials,Independent Oil & Gas,USA,27.77M,3.18,0.57,-9.10%,"112,271"
87,GGAL,Grupo Financiero Galicia S.A.,Financial,Foreign Regional Banks,Argentina,1.97B,3.18,13.25,-5.02%,"1,016,382"
88,WEI,Weidai Ltd.,Financial,Credit Services,China,155.43M,3.18,2.18,-4.39%,"64,471"
85,FSK,FS KKR Capital Corp.,Financial,Asset Management,USA,3.02B,3.14,5.94,-2.62%,"4,447,294"
84,KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,14.70M,3.11,1.26,-1.56%,"12,502"
83,BH-A,Biglari Holdings Inc.,Services,Restaurants,USA,134.05M,3.02,648,-0.31%,434
82,ASA,ASA Gold and Precious Metals Limited,Financial,Asset Management,USA,274.11M,3,14.21,-3.00%,"142,244"
81,PINC,"Premier, Inc.",Technology,Healthcare Information Services,USA,2.16B,2.96,30.33,-0.91%,"1,264,011"
79,MTL,Mechel PAO,Basic Materials,Steel & Iron,Russia,890.42M,2.94,3.04,-0.33%,"86,174"
80,CPS,Cooper-Standard Holdings Inc.,Consumer Goods,Auto Parts,USA,317.54M,2.94,17.92,-9.63%,"587,561"
78,HCC,"Warrior Met Coal, Inc.",Basic Materials,Industrial Metals & Minerals,USA,872.87M,2.92,17.1,-0.64%,"1,102,395"
