No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3142,GOODM,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,764.40M,26370,26.37,0.19%,"2,321"
3141,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.32B,9750,39,1.56%,"72,811"
3140,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.83B,3942.5,31.54,2.57%,"1,249,982"
3139,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,24.02B,3531.2,88.28,-0.45%,"1,669,074"
3138,GOOD,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,768.12M,2437.78,21.94,-0.32%,"124,846"
3137,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,24.70B,2205,4.41,0.00%,"34,648,451"
3136,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,279.03M,2060,6.18,1.48%,"123,742"
3135,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.63B,1918.06,34.53,3.26%,"674,184"
3134,PAAS,Pan American Silver Corp.,Basic Materials,Silver,Canada,4.79B,1396.25,22.34,-1.46%,"1,555,832"
3133,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,8.39B,1293.21,36.21,-2.74%,"4,714,987"
3132,MTLS,Materialise NV,Technology,Application Software,Belgium,1.08B,1157.06,19.67,3.25%,"112,716"
3131,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,227.18M,1128,11.28,2.08%,"195,677"
3130,GFNCP,General Finance Corporation,Services,Rental & Leasing Services,USA,3.23B,1109.38,106.5,0.00%,"1,503"
3129,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.79B,1067.39,118.48,2.80%,"496,190"
3128,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.18B,1066.67,16,0.00%,"22,197"
3127,PCRX,"Pacira BioSciences, Inc.",Healthcare,Drugs - Generic,USA,2.06B,951.92,49.5,-0.96%,"355,033"
3126,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.13B,855.71,29.95,-2.03%,"196,349"
3125,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,13.16B,849.12,28.87,-1.94%,"1,323,787"
3124,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,12.37B,794.53,201.81,-0.71%,"460,586"
3123,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,91.08M,631.58,12,-3.07%,"332,569"
3122,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,240.39M,612,6.12,2.86%,"231,312"
3121,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.76B,610.08,75.04,2.75%,"96,363"
3120,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.41B,600,21.6,-1.50%,"1,605,241"
3119,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,197.33M,567.37,10.78,0.65%,"33,083"
3118,DRD,DRDGOLD Limited,Basic Materials,Gold,South Africa,516.07M,543.64,5.98,-2.45%,"91,088"
3117,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,6.25B,542.96,14.66,-1.15%,"50,970"
3116,QTS,"QTS Realty Trust, Inc.",Financial,REIT - Industrial,USA,3.46B,534.14,59.29,0.71%,"331,477"
3115,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,1.95B,520.38,54.12,0.84%,"94,292"
3114,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.08B,510.2,26.02,3.54%,"310,588"
3113,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.40B,500,28,0.18%,"205,374"
3112,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.54B,463.04,21.3,5.81%,"3,766,979"
3111,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.80B,461.62,31.39,-0.19%,"528,012"
3110,SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,342.93M,460.77,29.95,4.76%,"76,446"
3109,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.66B,435.52,12.63,0.40%,"629,866"
3108,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,4.51B,428.85,37.31,1.83%,"745,930"
3107,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,283.61M,386.55,11.21,1.45%,"95,716"
3106,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,2.40B,371.33,16.71,-0.12%,"963,813"
3105,TREC,Trecora Resources,Basic Materials,Specialty Chemicals,USA,167.28M,370.56,6.67,1.68%,"25,463"
3104,TRC,Tejon Ranch Co.,Financial,Property Management,USA,423.79M,360,16.2,0.31%,"54,733"
3103,CWST,"Casella Waste Systems, Inc.",Industrial Goods,Waste Management,USA,2.49B,356.73,52.44,-0.38%,"181,812"
3102,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2.66B,350.43,32.59,-0.24%,"1,322,016"
3101,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,45.35B,349.26,207.11,0.64%,"1,170,961"
3100,KRUS,"Kura Sushi USA, Inc.",Services,Restaurants,USA,187.07M,342.73,22.62,-0.66%,"95,662"
3099,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,5.26B,337.09,87.98,0.96%,"634,214"
3098,TAL,TAL Education Group,Services,Education & Training Services,USA,34.40B,336.25,59.18,1.70%,"3,149,067"
3097,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,879.40M,333.14,16.99,-0.18%,"221,351"
3096,AYX,"Alteryx, Inc.",Technology,Application Software,USA,9.44B,332.24,146.52,2.94%,"1,271,186"
3095,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Biotechnology,USA,9.81B,326.12,107.62,0.61%,"504,027"
3094,LASR,"nLIGHT, Inc.",Technology,Semiconductor - Broad Line,USA,826.53M,317.12,20.93,4.23%,"167,854"
3093,BYFC,Broadway Financial Corporation,Financial,Savings & Loans,USA,29.65M,310,1.55,0.14%,"3,727"
3092,DSX,Diana Shipping Inc.,Services,Shipping,Greece,296.22M,307.78,2.77,-1.07%,"451,116"
3091,DEA,"Easterly Government Properties, Inc.",Financial,REIT - Office,USA,1.85B,285.06,24.8,0.20%,"421,737"
3090,CDAY,Ceridian HCM Holding Inc.,Technology,Application Software,USA,9.88B,283.82,69.82,1.88%,"617,125"
3089,MITT,"AG Mortgage Investment Trust, Inc.",Financial,Mortgage Investment,USA,533.29M,283.68,16.17,0.19%,"143,795"
3088,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,1.85B,279.7,74.12,1.73%,"88,668"
3087,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,22.71B,274.73,55.22,0.31%,"253,531"
3086,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,2.07B,271.72,15.76,1.87%,"581,049"
3085,VIRC,Virco Mfg. Corporation,Consumer Goods,Business Equipment,USA,63.80M,267.33,4.01,-1.47%,225
3084,F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major,USA,33.44B,265.81,8.24,1.73%,"111,408,814"
3083,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,32.67B,261.44,292.81,3.10%,"1,097,224"
3082,DXR,Daxor Corporation,Healthcare,Medical Instruments & Supplies,USA,35.82M,260.27,9.63,-2.33%,"1,686"
3081,TACO,"Del Taco Restaurants, Inc.",Services,Restaurants,USA,292.23M,259,7.77,0.78%,"302,312"
3080,LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,4.15B,247.97,85.55,0.09%,"439,125"
3079,SLAB,Silicon Laboratories Inc.,Technology,Semiconductor - Integrated Circuits,USA,4.72B,244.89,103.59,1.82%,"283,555"
3078,FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,39.52B,243.86,158.51,0.32%,"1,551,277"
3077,MTRN,Materion Corporation,Basic Materials,Industrial Metals & Minerals,USA,1.23B,231.79,58.41,0.03%,"115,145"
3076,NTCT,"NetScout Systems, Inc.",Technology,Business Software & Services,USA,2.17B,227.11,29.07,0.66%,"467,556"
3075,EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services,USA,2.18B,225.63,48.51,1.38%,"320,085"
3074,CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,USA,8.67B,225.38,23.44,0.09%,"3,836,350"
3073,IDT,IDT Corporation,Technology,Diversified Communication Services,USA,198.92M,221.67,7.98,0.50%,"44,379"
3072,HSKA,Heska Corporation,Healthcare,Medical Laboratories & Research,USA,803.96M,217.67,101,-0.21%,"42,997"
3071,RGEN,Repligen Corporation,Healthcare,Biotechnology,USA,5.52B,217.17,106.85,1.60%,"248,190"
