No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
4139,GOODM,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,762.95M,26320,26.32,0.19%,"3,143"
5291,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.29B,9600,38.4,0.79%,"66,065"
4725,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.76B,3843.75,30.75,0.00%,"1,584,753"
6895,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,24.13B,3547.2,88.68,-1.10%,"2,729,128"
3496,GOOD,Gladstone Commercial Corporation,Financial,REIT - Diversified,USA,770.57M,2445.56,22.01,0.41%,"100,426"
1033,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,24.70B,2205,4.41,3.52%,"81,987,300"
1303,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,274.96M,2030,6.09,1.84%,"117,892"
4965,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.52B,1857.5,33.44,4.09%,"617,777"
3583,PAAS,Pan American Silver Corp.,Basic Materials,Silver,Canada,4.86B,1416.88,22.67,0.27%,"857,810"
5233,GSX,GSX Techedu Inc.,Services,Education & Training Services,USA,8.63B,1329.64,37.23,-10.80%,"3,885,799"
3152,MTLS,Materialise NV,Technology,Application Software,Belgium,1.05B,1120.59,19.05,1.60%,"30,761"
7103,GFNCP,General Finance Corporation,Services,Rental & Leasing Services,USA,3.23B,1109.38,106.5,1.04%,"1,904"
2042,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,222.55M,1105,11.05,10.50%,"260,074"
2793,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.18B,1066.67,16,0.00%,"9,902"
7178,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.72B,1038.29,115.25,-0.31%,"340,977"
5895,PCRX,"Pacira BioSciences, Inc.",Healthcare,Drugs - Generic,USA,2.08B,961.15,49.98,0.54%,"643,924"
4715,CRY,"CryoLife, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.15B,873.43,30.57,1.53%,"251,137"
4604,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,13.42B,865.88,29.44,1.38%,"1,244,718"
7536,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,12.46B,800.2,203.25,0.30%,"410,768"
2213,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,93.96M,651.58,12.38,-3.28%,"186,291"
3483,SBRA,"Sabra Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,4.48B,609.17,21.93,-0.27%,"1,510,017"
1284,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,233.72M,595,5.95,0.00%,"173,632"
6626,BAND,Bandwidth Inc.,Technology,Business Software & Services,USA,1.71B,593.74,73.03,0.33%,"96,667"
1990,IGA,Voya Global Advantage and Premium Opportunity Fund,Financial,Closed-End Fund - Foreign,USA,196.05M,563.68,10.71,-0.19%,"51,907"
1307,DRD,DRDGOLD Limited,Basic Materials,Gold,South Africa,529.02M,557.27,6.13,-0.65%,"109,584"
2595,BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified,Brazil,6.32B,549.26,14.83,1.99%,"44,009"
6261,QTS,"QTS Realty Trust, Inc.",Financial,REIT - Industrial,USA,3.44B,530.36,58.87,0.91%,"330,313"
6068,GSHD,"Goosehead Insurance, Inc",Financial,Insurance Brokers,USA,1.93B,516.06,53.67,-1.34%,"102,112"
4418,SCU,"Sculptor Capital Management, Inc.",Financial,Asset Management,USA,1.40B,499.11,27.95,3.29%,"80,078"
3871,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.05B,492.75,25.13,2.91%,"213,081"
4798,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,3.81B,462.5,31.45,0.38%,"599,716"
4510,SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,327.36M,439.85,28.59,-1.35%,"122,207"
3265,RUN,Sunrun Inc.,Technology,Semiconductor - Specialized,USA,2.40B,437.61,20.13,0.85%,"3,071,779"
2235,BRMK,Broadmark Realty Capital Inc.,Financial,Mortgage Investment,USA,1.65B,433.79,12.58,0.24%,"424,357"
5202,CFX,Colfax Corporation,Industrial Goods,Diversified Machinery,USA,4.43B,421.15,36.64,1.13%,"596,894"
2043,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductor - Specialized,USA,279.57M,381.03,11.05,4.54%,"152,037"
2893,GOL,Gol Linhas Aereas Inteligentes S.A.,Services,Regional Airlines,Brazil,2.40B,371.78,16.73,5.55%,"827,685"
1373,TREC,Trecora Resources,Basic Materials,Specialty Chemicals,USA,164.52M,364.44,6.56,0.46%,"16,980"
2817,TRC,Tejon Ranch Co.,Financial,Property Management,USA,422.48M,358.89,16.15,-0.49%,"65,276"
6022,CWST,"Casella Waste Systems, Inc.",Industrial Goods,Waste Management,USA,2.50B,358.1,52.64,0.59%,"150,363"
4897,EYE,"National Vision Holdings, Inc.",Services,"Specialty Retail, Other",USA,2.66B,351.29,32.67,-0.79%,"492,495"
7549,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,45.06B,347.05,205.8,-0.15%,"1,288,447"
3596,KRUS,"Kura Sushi USA, Inc.",Services,Restaurants,USA,188.31M,345,22.77,0.00%,"97,440"
6866,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,5.21B,333.87,87.14,1.99%,"519,555"
2933,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,880.96M,333.73,17.02,2.96%,"445,177"
6234,TAL,TAL Education Group,Services,Education & Training Services,USA,33.82B,330.62,58.19,0.50%,"4,485,999"
7107,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Biotechnology,USA,9.75B,324.15,106.97,0.92%,"380,521"
7347,AYX,"Alteryx, Inc.",Technology,Application Software,USA,9.17B,322.74,142.33,-0.43%,"1,248,821"
693,DSX,Diana Shipping Inc.,Services,Shipping,Greece,299.43M,311.11,2.8,4.87%,"489,318"
419,BYFC,Broadway Financial Corporation,Financial,Savings & Loans,USA,29.61M,309.58,1.55,3.19%,"20,615"
3810,DEA,"Easterly Government Properties, Inc.",Financial,REIT - Office,USA,1.85B,284.48,24.75,-0.08%,"201,412"
2816,MITT,"AG Mortgage Investment Trust, Inc.",Financial,Mortgage Investment,USA,532.30M,283.16,16.14,-0.12%,"143,507"
6522,CDAY,Ceridian HCM Holding Inc.,Technology,Application Software,USA,9.69B,278.58,68.53,-0.81%,"824,955"
6617,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,1.82B,274.94,72.86,0.91%,"68,063"
6134,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,22.64B,273.88,55.05,0.04%,"214,601"
968,VIRC,Virco Mfg. Corporation,Consumer Goods,Business Equipment,USA,64.75M,271.33,4.07,0.99%,"5,238"
2714,CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,USA,2.04B,266.72,15.47,0.26%,"470,326"
1815,DXR,Daxor Corporation,Healthcare,Medical Instruments & Supplies,USA,36.68M,266.49,9.86,-0.64%,"3,079"
1585,F,Ford Motor Company,Consumer Goods,Auto Manufacturers - Major,USA,32.88B,261.29,8.1,0.50%,"80,021,119"
1532,TACO,"Del Taco Restaurants, Inc.",Services,Restaurants,USA,289.97M,257,7.71,1.98%,"252,994"
7635,SBAC,SBA Communications Corporation,Technology,Diversified Communication Services,USA,31.69B,253.57,284,7.28%,"1,774,385"
6844,LOGM,"LogMeIn, Inc.",Technology,Application Software,USA,4.15B,247.74,85.47,-0.04%,"458,515"
7416,FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,39.39B,243.08,158,0.78%,"2,005,063"
7056,SLAB,Silicon Laboratories Inc.,Technology,Semiconductor - Integrated Circuits,USA,4.64B,240.52,101.74,-0.33%,"189,507"
6243,MTRN,Materion Corporation,Basic Materials,Industrial Metals & Minerals,USA,1.23B,231.71,58.39,2.31%,"77,355"
4544,NTCT,"NetScout Systems, Inc.",Technology,Business Software & Services,USA,2.15B,225.62,28.88,1.83%,"681,470"
3657,CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,USA,8.66B,225.19,23.42,0.30%,"2,422,139"
5791,EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services,USA,2.16B,222.56,47.85,-2.84%,"360,373"
1560,IDT,IDT Corporation,Technology,Diversified Communication Services,USA,197.93M,220.56,7.94,0.76%,"41,635"
7052,HSKA,Heska Corporation,Healthcare,Medical Laboratories & Research,USA,805.63M,218.12,101.21,0.65%,"57,392"
5857,CHCT,Community Healthcare Trust Incorporated,Financial,REIT - Healthcare Facilities,USA,981.16M,217.09,49.28,-1.24%,"118,180"
7094,RGEN,Repligen Corporation,Healthcare,Biotechnology,USA,5.44B,213.76,105.17,1.20%,"197,085"
3547,MYL,Mylan N.V.,Healthcare,Drugs - Generic,USA,11.58B,212.86,22.35,-1.19%,"4,884,551"
7300,LBRDK,Liberty Broadband Corporation,Services,Broadcasting - TV,USA,20.76B,212.41,135.94,0.35%,"524,590"
