No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
51,KOPN,Kopin Corporation,Technology,Semiconductor - Broad Line,USA,33.33M,-,0.40,0.00%,"153,068"
52,NXTD,"Nxt-ID, Inc.",Services,Security & Protection Services,USA,12.03M,-,0.40,0.76%,"366,732"
53,HX,Hexindai Inc.,Financial,Credit Services,China,24.59M,-,0.43,-4.23%,"33,452"
54,ENT,Global Eagle Entertainment Inc.,Services,Entertainment - Diversified,USA,42.26M,-,0.43,-2.56%,"58,632"
55,SINO,"Sino-Global Shipping America, Ltd.",Services,Air Delivery & Freight Services,USA,7.74M,-,0.43,3.83%,"40,944"
56,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,50.39M,-,0.44,1.80%,"348,898"
57,UAMY,United States Antimony Corporation,Basic Materials,Industrial Metals & Minerals,USA,31.84M,-,0.44,-8.00%,"44,762"
58,SNMP,Sanchez Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,8.60M,0.11,0.44,4.40%,"26,773"
59,DFFN,Diffusion Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,15.86M,-,0.44,2.52%,"1,025,307"
60,NOVN,"Novan, Inc.",Healthcare,Biotechnology,USA,12.11M,-,0.44,-2.00%,"253,405"
61,CHFS,"CHF Solutions, Inc.",Healthcare,Medical Appliances & Equipment,USA,7.11M,-,0.45,-0.93%,"1,621,262"
62,IFMK,iFresh Inc.,Services,Grocery Stores,USA,8.12M,-,0.45,-2.17%,"131,733"
63,LPCN,Lipocine Inc.,Healthcare,Drugs - Generic,USA,11.71M,-,0.45,-2.13%,"512,128"
64,AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,USA,5.44M,-,0.46,-4.60%,"34,024"
65,TGB,Taseko Mines Limited,Basic Materials,Industrial Metals & Minerals,Canada,113.57M,-,0.46,3.81%,"217,288"
66,GSAT,"Globalstar, Inc.",Technology,Wireless Communications,USA,683.09M,-,0.46,0.99%,"1,052,414"
67,NAK,Northern Dynasty Minerals Ltd.,Basic Materials,Industrial Metals & Minerals,Canada,198.30M,-,0.47,-0.70%,"1,479,355"
68,WYY,WidePoint Corporation,Technology,Information Technology Services,USA,39.20M,-,0.47,-0.60%,"71,200"
69,TNXP,Tonix Pharmaceuticals Holding Corp.,Healthcare,Biotechnology,USA,6.60M,-,0.47,-4.10%,"1,698,714"
70,CNAT,Conatus Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,15.92M,-,0.48,-2.54%,"1,328,559"
71,MYT,"Urban Tea, Inc.",Basic Materials,Specialty Chemicals,China,12.83M,-,0.49,-5.75%,"86,023"
72,TOCA,Tocagen Inc.,Healthcare,Biotechnology,USA,11.87M,-,0.49,6.00%,"502,940"
73,TMDI,Titan Medical Inc.,Healthcare,Medical Appliances & Equipment,Canada,17.31M,-,0.50,0.04%,"478,260"
74,EMAN,eMagin Corporation,Technology,Semiconductor Equipment & Materials,USA,24.97M,-,0.50,0.57%,"129,079"
75,TRPX,Therapix Biosciences Ltd.,Healthcare,Biotechnology,Israel,13.92M,-,0.50,7.73%,"1,023,452"
76,HGSH,China HGS Real Estate Inc.,Financial,Real Estate Development,China,23.02M,6.10,0.50,-3.27%,"9,356"
77,CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,1.04B,1.03,0.50,0.26%,"59,929,115"
78,ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Silver,Canada,38.65M,-,0.50,-0.22%,"245,293"
79,UAVS,"AgEagle Aerial Systems, Inc.",Technology,Computer Based Systems,USA,7.53M,-,0.51,0.14%,"51,704"
80,ONTX,"Onconova Therapeutics, Inc.",Healthcare,Biotechnology,USA,63.09M,-,0.51,-14.83%,"122,249,605"
81,APVO,Aptevo Therapeutics Inc.,Healthcare,Biotechnology,USA,23.41M,-,0.51,2.23%,"394,065"
82,FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,60.78M,-,0.52,-6.84%,"536,069"
83,RMBL,"RumbleON, Inc.",Services,"Specialty Retail, Other",USA,23.44M,-,0.52,0.85%,"186,901"
84,TRX,Tanzanian Gold Corporation,Basic Materials,Gold,Canada,78.72M,-,0.52,-4.85%,"139,972"
85,CPHI,"China Pharma Holdings, Inc.",Healthcare,Drug Manufacturers - Major,China,18.01M,-,0.52,-8.02%,"1,725,849"
86,NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,14.99M,-,0.52,-4.81%,"249,605"
87,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,11.75M,-,0.53,1.15%,"989,301"
88,CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,19.21M,-,0.53,-7.00%,"88,279"
89,TLGT,"Teligent, Inc.",Healthcare,Biotechnology,USA,28.54M,-,0.53,-5.36%,"715,106"
90,THM,International Tower Hill Mines Ltd.,Basic Materials,Gold,Canada,99.41M,-,0.53,-3.64%,"60,694"
91,NVUS,"Novus Therapeutics, Inc.",Healthcare,Biotechnology,USA,7.40M,-,0.53,2.71%,"103,669"
92,COCP,"Cocrystal Pharma, Inc.",Healthcare,Biotechnology,USA,20.77M,-,0.53,2.30%,"95,217"
93,BURG,"Chanticleer Holdings, Inc.",Services,Restaurants,USA,5.42M,-,0.53,-4.53%,"60,245"
94,OGEN,"Oragenics, Inc.",Healthcare,Biotechnology,USA,24.79M,-,0.54,-8.71%,"1,734,978"
95,DMPI,"DelMar Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,6.22M,-,0.54,-1.14%,"77,225"
96,URG,Ur-Energy Inc.,Basic Materials,Industrial Metals & Minerals,USA,89.87M,-,0.54,3.08%,"339,471"
97,SYN,"Synthetic Biologics, Inc.",Healthcare,Biotechnology,USA,9.68M,-,0.54,-1.84%,"203,933"
98,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,48.46M,-,0.55,-3.45%,"4,002,418"
99,AVEO,"AVEO Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,94.02M,2.11,0.55,-0.79%,"774,452"
100,TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,14.42M,-,0.56,-0.91%,"134,523"
101,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,18.09M,-,0.58,0.26%,"38,908"
102,FTR,Frontier Communications Corporation,Technology,Telecom Services - Domestic,USA,61.11M,-,0.58,3.20%,"1,133,644"
103,GLBS,Globus Maritime Limited,Services,Shipping,Greece,3.16M,-,0.58,5.49%,"201,064"
104,GPL,Great Panther Mining Limited,Basic Materials,Silver,Canada,187.06M,-,0.58,0.26%,"428,225"
105,IDEX,"Ideanomics, Inc.",Technology,Application Software,USA,82.80M,16.69,0.58,2.22%,"165,866"
106,ICD,"Independence Contract Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,46.21M,-,0.59,-1.25%,"241,475"
107,SPCB,SuperCom Ltd.,Technology,Security Software & Services,Israel,9.50M,-,0.59,-2.62%,"68,869"
108,IGC,"India Globalization Capital, Inc.",Basic Materials,Steel & Iron,USA,24.05M,-,0.59,-4.13%,"412,238"
109,MARK,"Remark Holdings, Inc.",Technology,Internet Information Providers,USA,28.27M,-,0.60,7.09%,"90,018"
110,TAOP,Taoping Inc.,Technology,Information Technology Services,China,27.31M,-,0.60,-7.72%,"15,742"
111,HJLI,"Hancock Jaffe Laboratories, Inc.",Healthcare,Medical Appliances & Equipment,USA,11.20M,-,0.60,5.74%,"102,084"
112,NAKD,Naked Brand Group Limited,Consumer Goods,Textile - Apparel Clothing,Australia,2.53M,-,0.60,-4.95%,"257,058"
113,TRCH,"Torchlight Energy Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,48.16M,-,0.60,2.16%,"30,649"
114,CBAT,"CBAK Energy Technology, Inc.",Healthcare,Medical Laboratories & Research,China,33.35M,-,0.60,-9.91%,"53,478"
115,PTN,"Palatin Technologies, Inc.",Healthcare,Biotechnology,USA,144.03M,4.40,0.60,-14.68%,"3,231,683"
116,EFOI,"Energy Focus, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,9.99M,-,0.61,-0.80%,"102,818"
117,OCGN,"Ocugen, Inc.",Healthcare,Biotechnology,USA,10.22M,-,0.61,8.41%,"5,142,878"
118,PEIX,"Pacific Ethanol, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,35.17M,-,0.61,7.68%,"205,202"
119,WRN,Western Copper and Gold Corporation,Basic Materials,Industrial Metals & Minerals,Canada,65.63M,-,0.61,0.00%,"87,946"
120,HTGM,"HTG Molecular Diagnostics, Inc.",Healthcare,Medical Laboratories & Research,USA,36.32M,-,0.61,5.21%,"665,371"
121,MVIS,"MicroVision, Inc.",Technology,Scientific & Technical Instruments,USA,91.74M,-,0.61,-1.31%,"373,763"
122,ECT,ECA Marcellus Trust I,Basic Materials,Oil & Gas Drilling & Exploration,USA,10.81M,2.60,0.61,0.66%,"17,169"
123,TGC,"Tengasco, Inc.",Basic Materials,Independent Oil & Gas,USA,6.59M,-,0.62,0.82%,"4,227"
124,BIOL,"BIOLASE, Inc.",Healthcare,Medical Instruments & Supplies,USA,20.14M,-,0.63,1.70%,"1,382,940"
125,AVGR,"Avinger, Inc.",Healthcare,Medical Appliances & Equipment,USA,10.87M,-,0.64,1.78%,"414,407"
126,CCCL,"China Ceramics Co., Ltd.",Industrial Goods,General Building Materials,China,4.61M,-,0.64,-3.00%,"144,263"
127,ARPO,"Aerpio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,27.13M,-,0.64,0.11%,"225,743"
128,AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,101.90M,-,0.65,-9.16%,"1,476,288"
129,VGZ,Vista Gold Corp.,Basic Materials,Gold,USA,68.02M,-,0.67,-0.04%,"74,255"
130,TRQ,Turquoise Hill Resources Ltd.,Basic Materials,Copper,Canada,1.40B,-,0.67,1.16%,"1,011,616"
131,TOPS,Top Ships Inc.,Services,Shipping,Greece,5.93M,-,0.67,-0.16%,"81,106"
132,SPHS,"Sophiris Bio, Inc.",Healthcare,Biotechnology,USA,23.73M,168.42,0.67,-6.40%,"108,955"
133,UUU,"Universal Security Instruments, Inc.",Services,Security & Protection Services,USA,1.56M,-,0.68,-9.48%,"82,339"
134,ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,18.64M,-,0.68,-5.22%,"501,123"
135,LODE,Comstock Mining Inc.,Basic Materials,Gold,USA,17.36M,-,0.68,0.50%,"271,564"
136,MNI,The McClatchy Company,Services,Publishing - Newspapers,USA,5.19M,-,0.69,0.39%,"74,434"
137,OBE,Obsidian Energy Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,50.49M,-,0.69,1.04%,"41,287"
138,BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,7.21M,3.19,0.69,-9.23%,"7,334"
139,CHKR,Chesapeake Granite Wash Trust,Basic Materials,Independent Oil & Gas,USA,32.46M,3.88,0.69,0.33%,"190,106"
140,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,42.90M,-,0.70,-0.29%,"327,999"
141,JAGX,"Jaguar Health, Inc.",Healthcare,Biotechnology,USA,9.83M,-,0.70,-1.50%,"164,201"
142,SDPI,"Superior Drilling Products, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,17.11M,-,0.71,1.40%,"44,170"
143,DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,13.14M,-,0.71,-1.27%,"81,961"
144,SNSS,"Sunesis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,81.13M,-,0.71,1.44%,"837,453"
145,JCP,"J. C. Penney Company, Inc.",Services,Department Stores,USA,238.07M,-,0.71,0.01%,"4,671,366"
146,PMTS,CPI Card Group Inc.,Financial,Credit Services,USA,9.10M,-,0.71,-0.36%,"3,336"
147,AYTU,"Aytu BioScience, Inc.",Healthcare,Biotechnology,USA,14.98M,-,0.71,-3.28%,"54,971"
148,CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,12.32M,-,0.72,2.92%,"48,812"
149,KTOV,Kitov Pharma Ltd,Healthcare,Biotechnology,Israel,22.08M,-,0.72,6.45%,"89,397"
150,SSI,"Stage Stores, Inc.",Services,Apparel Stores,USA,23.17M,-,0.73,-35.83%,"6,344,268"
151,VTGN,"VistaGen Therapeutics, Inc.",Healthcare,Biotechnology,USA,36.83M,-,0.73,-2.72%,"334,253"
152,APEX,Apex Global Brands Inc.,Services,Apparel Stores,USA,4.14M,-,0.73,2.31%,"233,804"
153,ALO,Alio Gold Inc.,Basic Materials,Gold,Canada,62.83M,-,0.73,0.80%,"55,892"
154,CBL,"CBL & Associates Properties, Inc.",Financial,REIT - Retail,USA,134.91M,-,0.73,-5.51%,"1,222,900"
155,FAMI,"Farmmi, Inc.",Consumer Goods,Processed & Packaged Goods,China,10.10M,-,0.74,8.16%,"673,726"
156,MPVD,Mountain Province Diamonds Inc.,Basic Materials,Industrial Metals & Minerals,Canada,157.60M,-,0.75,0.00%,0
157,MBRX,"Moleculin Biotech, Inc.",Healthcare,Biotechnology,USA,35.60M,-,0.75,-0.26%,"631,658"
158,GSV,Gold Standard Ventures Corp,Basic Materials,Gold,Canada,209.03M,-,0.75,0.39%,"425,949"
159,ATHE,Alterity Therapeutics Limited,Healthcare,Biotechnology,Australia,12.25M,-,0.75,-6.39%,"68,033"
160,TEUM,Pareteum Corporation,Technology,Telecom Services - Domestic,USA,82.78M,-,0.75,8.11%,"2,322,858"
161,AQMS,"Aqua Metals, Inc.",Industrial Goods,Waste Management,USA,42.97M,-,0.76,-1.42%,"321,423"
162,SEEL,"Seelos Therapeutics, Inc.",Healthcare,Biotechnology,USA,21.02M,-,0.77,-9.89%,"3,685,500"
163,MTP,Midatech Pharma plc,Healthcare,Biotechnology,USA,18.09M,-,0.77,-3.30%,"99,525"
164,VRML,"Vermillion, Inc.",Healthcare,Diagnostic Substances,USA,77.09M,-,0.77,-1.40%,"22,737"
165,OPTT,"Ocean Power Technologies, Inc.",Industrial Goods,Diversified Machinery,USA,5.85M,-,0.78,-0.69%,"225,977"
166,INNT,"Innovate Biopharmaceuticals, Inc.",Healthcare,Biotechnology,USA,29.82M,-,0.79,3.92%,"140,382"
167,USAU,U.S. Gold Corp.,Basic Materials,Gold,USA,18.17M,-,0.79,0.00%,"26,436"
168,ANY,Sphere 3D Corp.,Technology,Application Software,Canada,3.10M,3.56,0.79,-4.81%,"110,788"
169,HDSN,Hudson Technologies Inc.,Basic Materials,Specialty Chemicals,USA,33.74M,-,0.80,-3.00%,"103,733"
170,UMRX,Unum Therapeutics Inc.,Healthcare,Biotechnology,USA,26.42M,-,0.80,0.00%,"119,511"
171,NE,Noble Corporation plc,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,200.74M,-,0.80,-0.83%,"4,936,402"
172,HHT,"Huitao Technology Co., Ltd.",Industrial Goods,General Building Materials,China,5.60M,-,0.80,-6.53%,"23,667"
173,DCIX,Performance Shipping Inc.,Services,Shipping,Greece,40.35M,-,0.81,1.65%,"178,045"
174,CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,18.92M,-,0.81,-0.97%,"58,610"
175,AMTX,"Aemetis, Inc.",Basic Materials,Specialty Chemicals,USA,16.40M,-,0.81,-0.65%,"21,358"
176,TRVN,"Trevena, Inc.",Healthcare,Biotechnology,USA,78.53M,-,0.81,2.70%,"775,645"
177,HCR,Hi-Crush Inc.,Basic Materials,Industrial Metals & Minerals,USA,81.78M,-,0.81,-0.98%,"226,093"
178,ROSE,Rosehill Resources Inc.,Basic Materials,Independent Oil & Gas,USA,41.83M,-,0.82,-6.98%,"193,706"
179,TTOO,"T2 Biosystems, Inc.",Healthcare,Medical Laboratories & Research,USA,41.46M,-,0.82,4.57%,"531,251"
180,KIQ,Kelso Technologies Inc.,Services,Railroads,Canada,38.68M,17.08,0.82,8.44%,"111,815"
181,DCAR,"DropCar, Inc.",Technology,Application Software,USA,3.32M,-,0.82,8.61%,"344,597"
182,ISIG,"Insignia Systems, Inc.",Services,Marketing Services,USA,9.69M,-,0.82,0.63%,"1,531"
183,STAF,"Staffing 360 Solutions, Inc.",Services,Staffing & Outsourcing Services,USA,7.49M,-,0.83,-2.99%,"21,582"
184,SINT,"Sintx Technologies, Inc.",Healthcare,Medical Appliances & Equipment,USA,2.81M,-,0.83,-1.20%,"705,886"
