No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3128,GO,Grocery Outlet Holding Corp.,Services,Grocery Stores,USA,2.88B,10550,31.65,-2.19%,"677,186"
3127,EVA,"Enviva Partners, LP",Industrial Goods,"Lumber, Wood Production",USA,1.29B,9632.5,38.53,-0.16%,"53,562"
3126,VSAT,"Viasat, Inc.",Technology,Communication Equipment,USA,3.60B,7952.86,55.67,-3.82%,"717,938"
3125,ZM,"Zoom Video Communications, Inc.",Technology,Application Software,USA,29.10B,4070.4,101.76,-3.35%,"5,480,748"
3124,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,23.27B,2080,4.16,0.00%,"21,014,879"
3123,DAKT,"Daktronics, Inc.",Technology,Computer Based Systems,USA,270.90M,1983.33,5.95,-0.83%,"220,394"
3122,NEO,"NeoGenomics, Inc.",Healthcare,Medical Laboratories & Research,USA,3.46B,1805,32.49,-1.84%,"756,006"
3121,EHTH,"eHealth, Inc.",Financial,Insurance Brokers,USA,2.98B,1184.86,131.52,1.81%,"2,589,452"
3120,MTLS,Materialise NV,Technology,Application Software,Belgium,1.04B,1132.35,19.25,-2.78%,"61,118"
3119,INFU,InfuSystem Holdings Inc.,Healthcare,Medical Instruments & Supplies,USA,233.16M,1128,11.28,-4.00%,"85,273"
3118,AHCO,AdaptHealth Corp.,Healthcare,Medical Appliances & Equipment,USA,1.21B,1100,16.5,-0.90%,"24,383"
3117,WPM,Wheaton Precious Metals Corp.,Basic Materials,Silver,Canada,14.70B,967.94,32.91,1.51%,"3,138,825"
3116,PODD,Insulet Corporation,Healthcare,Medical Instruments & Supplies,USA,13.38B,835.87,212.31,-1.91%,"339,253"
3115,KRMD,"Repro Med Systems, Inc.",Healthcare,Medical Instruments & Supplies,USA,287.18M,723,7.23,-0.55%,"242,107"
3114,LAKE,"Lakeland Industries, Inc.",Healthcare,Medical Instruments & Supplies,USA,102.41M,715.79,13.6,6.33%,"656,257"
